,length,height,width,angle of attack,length*heigth*width (Ordering Wings)
141,0.3,0.55,3.0,0.471,0.495
209,0.55,0.55,2.54,0.785,0.7683500000000001
208,0.55,0.55,2.54,0.628,0.7683500000000001
207,0.55,0.55,2.54,0.471,0.7683500000000001
205,0.55,0.55,2.54,0.157,0.7683500000000001
204,0.55,0.55,2.54,0.0,0.7683500000000001
206,0.55,0.55,2.54,0.314,0.7683500000000001
214,0.55,0.55,3.0,0.628,0.9075000000000002
210,0.55,0.55,3.0,0.0,0.9075000000000002
211,0.55,0.55,3.0,0.157,0.9075000000000002
212,0.55,0.55,3.0,0.314,0.9075000000000002
213,0.55,0.55,3.0,0.471,0.9075000000000002
215,0.55,0.55,3.0,0.785,0.9075000000000002
